"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","0","63","1","0.000000","0","0"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","0","104","1","0.000000","0","0"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","0","63","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","9","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","28","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","9","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","43","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","0","66","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","0","66","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","0","66","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","28","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","13","1","0.000000","0","0"
"/ControlRig/M_Manip.M_Manip","0","0","13","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","75","2","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","0","6","1","0.000000","0","0"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","0","104","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","56","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","101","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","0","167","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","1288","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","31","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","66","6","0.000000","0","9"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","6","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","43","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","0","62","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","0","88","1","0.000000","0","0"
"/Game/RetroShadersV4/RetroShader/Materials/PostProcess/PP_RetroMain.PP_RetroMain","0","0","24","4","0.000000","0","0"
"/Game/Anais/Material.Material","0","14","2","1","36.222370","0","44"
"/Game/Sacha/Materialsperos/Muret.Muret","0","14","1","1","27.912155","0","107"
"/Game/Anais/Material_008.Material_008","0","14","1","1","21.960007","0","111"
"/Game/Anais/Material_007.Material_007","0","14","1","1","25.778839","0","79"
"/Game/Anais/Material_009.Material_009","0","14","1","1","23.567612","0","82"
"/Game/Sacha/Materialsperos/Pierre.Pierre","0","14","1","1","23.612024","0","99"
"/Game/Sacha/Materialsperos/Toiture.Toiture","0","14","1","1","23.676203","0","65"
"/Game/Sacha/Materialsperos/Montagne.Montagne","0","14","1","1","28.471489","0","61"
"/Game/Sacha/Materialsperos/Brique.Brique","0","14","1","1","23.255451","0","50"
"/Game/Assets/Visual/poup?e_homme/Material_poup?e_1_bis.Material_poup?e_1_bis","0","14","1","1","24.928139","0","82"
"/Game/Sacha/Materialsperos/Atelier.Atelier","0","14","1","1","25.122633","0","64"
"/Game/Sacha/Material?glise.Material?glise","0","14","1","1","25.449842","0","57"
"/Game/CollisionEvent/MaterialPanneauTouristes.MaterialPanneauTouristes","0","14","1","1","24.440788","0","60"
"/Game/Sacha/Materialsperos/hERBE.hERBE","0","14","1","1","23.504955","0","67"
"/Game/Sacha/MaterialTunnel.MaterialTunnel","0","14","1","1","26.475243","0","59"
"/Game/Sacha/UV_tunnel_texture_Mat.UV_tunnel_texture_Mat","0","14","1","1","19.847645","0","68"
"/Game/Sacha/Materialsperos/Eau.Eau","0","14","1","1","20.754765","0","54"
"/Game/Anais/Material_003.Material_003","0","14","1","1","22.554483","0","56"
"/Game/Anais/Material_004.Material_004","0","14","1","1","22.095045","0","56"
"/Game/Anais/Material_005.Material_005","0","14","1","1","26.135977","0","66"
"/Game/Sacha/Materialsperos/Pav?s.Pav?s","0","14","1","1","26.391233","0","65"
"/Game/Assets/Visual/Material.Material","0","14","1","1","24.604548","0","58"
"/Game/Sacha/Material_fontaine.Material_fontaine","0","14","1","1","23.271412","0","47"
"/Game/Sacha/Fbx_Default_Material.Fbx_Default_Material","0","14","1","1","21.971006","0","46"
"/Game/Anais/Material_006.Material_006","0","14","1","1","20.840570","0","51"
"/Game/Anais/Material_010.Material_010","0","14","6","1","21.301764","0","53"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","4","1","0.000000","0","0"
"/Game/RetroShadersV4/RetroShader/Materials/PostProcess/PP_CheapFog.PP_CheapFog","0","0","6","1","0.000000","0","0"
"/Game/RetroShadersV4/RetroShader/Materials/PostProcess/PP_ForceAO.PP_ForceAO","0","0","6","1","0.000000","0","0"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","0","4","1","0.000000","0","0"
